iter  AnomalyNodeRemoved  LL
0 NA -704446.512136
1 261927 -704352.945832
2 384990 -704115.268126
3 387588 -704031.742562
4 443622 -703969.860561
5 438442 -703928.604535
6 543477 -703907.699129
7 390233 -703864.413805
8 44421 -703840.113177
9 226872 -703792.414266
10 115939 -703734.926788
11 85424 -703368.223113
12 386956 -703301.403110
13 450493 -703239.625516
14 50083 -703177.240036
15 452384 -703115.850975
16 521815 -703014.931042
17 124215 -702934.896196
18 502805 -702874.307183
19 480784 -702853.738779
20 3687 -702833.274730
21 507862 -702732.504109
22 108191 -702708.634206
23 283931 -702684.296785
24 162088 -702664.282936
25 70588 -702504.735563
26 110478 -702424.872442
27 135174 -702343.929171
28 533797 -702224.047982
29 44808 -702124.343551
30 191118 -702044.585541
31 61099 -701984.762423
32 416895 -701885.032546
33 240484 -701785.116805
34 130738 -701764.830179
35 265577 -701645.173165
36 216095 -701565.414806
37 15213 -701465.719478
38 41940 -701445.780430
39 33094 -701405.902389
40 471115 -701266.329258
41 359061 -701106.817108
42 388457 -701066.939071
43 524250 -701047.000052
44 248918 -701007.122015
45 226521 -700967.243977
46 528363 -700867.548884
47 485099 -700747.914772
48 11245 -700727.975753
49 541953 -700688.097716
50 256888 -700648.219678
51 517372 -700608.341641
52 262758 -700568.463604
53 28469 -700548.524585
54 220954 -700508.646547
55 279062 -700488.707529
56 86570 -700428.890473
57 34490 -700408.951454
58 528987 -700389.012435
59 537480 -700369.073417
60 471399 -700349.134398
61 59726 -700329.195379
62 314629 -700309.256360
63 345644 -700269.378323
64 42885 -700209.561267
65 228825 -700169.683230
66 114062 -699990.232061
67 64598 -699830.719912
68 52657 -699770.902856
69 12562 -699750.963837
70 430869 -699731.024818
71 17908 -699671.207762
72 406427 -699651.268743
73 548453 -699631.329725
74 324761 -699611.390706
75 130294 -699591.451687
76 62986 -699571.512669
77 492973 -699551.573650
78 71934 -699531.634631
79 179926 -699511.695613
80 214212 -699491.756594
81 536667 -699471.817575
82 279117 -699431.939538
83 485175 -699412.000519
84 485042 -699312.305426
85 90138 -699192.671313
86 65322 -699112.915239
87 537458 -699053.098183
88 493626 -698993.281127
89 123064 -698933.464070
90 166072 -698913.525052
91 139398 -698873.647014
92 53023 -698853.707996
93 440397 -698813.829958
94 27949 -698793.890940
95 28710 -698773.951921
96 114768 -698754.012902
97 528082 -698714.134865
98 78429 -698694.195846
