iter  AnomalyNodeRemoved  LL
0 NA -1832027.925217
1 470925 -1504134.791918
2 451094 -1468203.963300
3 543470 -1474673.438540
4 493652 -1468046.322008
5 367150 -1475376.449190
6 168999 -1505104.317113
7 212327 -1468013.885993
8 471697 -1503413.102464
9 302429 -1469999.975756
10 187400 -1472845.414728
11 432077 -1500079.154323
12 96642 -1507773.862284
13 37350 -1506312.435295
14 486807 -1470729.649691
15 124359 -1477035.333446
16 364337 -1463784.424786
17 379445 -1506407.837583
18 287388 -1501483.383611
19 104157 -1469846.386165
20 250730 -1500636.182419
21 107846 -1496993.703414
22 195432 -1504657.662746
23 48940 -1497917.329127
24 242108 -1466682.364566
25 248167 -1466351.752585
26 240814 -1500181.913507
27 205705 -1472349.858797
28 422748 -1469695.218672
29 9079 -1502288.631932
30 12848 -1503474.031288
31 44794 -1468284.028469
32 224105 -1479699.954731
33 303236 -1505254.108612
34 505621 -1507521.913298
35 533398 -1468496.530359
36 359697 -1498558.367852
37 341066 -1464108.516353
38 375204 -1469485.397276
39 478464 -1468193.620571
40 541049 -1506569.196032
41 97937 -1463298.797688
42 473759 -1468123.313011
43 228696 -1503544.125659
44 378636 -1498155.636808
45 203956 -1499020.689715
46 53601 -1475027.007100
47 228699 -1495763.429894
48 90447 -1476760.108854
49 378640 -1459919.451057
50 142208 -1466222.061260
51 109991 -1507985.194900
52 284808 -1474004.762330
53 10553 -1473255.713659
54 141843 -1495611.742217
55 17258 -1498292.353090
56 37511 -1473076.333867
57 445646 -1499839.775859
58 450325 -1501250.963740
59 429325 -1504797.831919
60 143434 -1468412.488582
61 71751 -1471029.535554
62 343564 -1473532.553158
63 462307 -1470491.149334
64 503875 -1493991.082948
65 392354 -1467090.348249
66 510749 -1470497.004956
67 473699 -1506063.181040
68 143431 -1461504.604023
69 189849 -1471359.686664
70 417022 -1465673.386354
71 457469 -1504648.346201
72 165862 -1502741.579831
73 179597 -1495742.226805
74 394982 -1501595.797839
75 157050 -1490850.338490
76 454809 -1494682.135479
77 499700 -1499493.698121
78 191747 -1460654.766592
79 510743 -1467594.591720
80 149393 -1497412.454747
81 354695 -1498577.088800
82 143436 -1467875.461248
83 168596 -1469827.956807
84 184858 -1501819.197368
85 212631 -1498566.419462
86 274550 -1465014.467876
87 168427 -1468298.775246
88 143433 -1501946.414874
89 309422 -1495096.730717
90 69359 -1500722.583149
91 178104 -1470347.576006
92 150418 -1462046.032415
93 326179 -1472307.149177
94 143432 -1462649.232278
95 405884 -1453667.206849
96 363952 -1501806.867705
97 200735 -1472863.158926
98 358359 -1466915.213078
99 325326 -1467694.887218
100 431107 -1464726.627334
