0.638877
0.638877
0(383645)::	0:0.250051	1:0.250051	2:0.250051	3:0.250051	
1(86141)::	0:2.590175	1:2.590175	2:2.590175	3:2.590175	
2(517338)::	0:0.562344	1:0.562344	2:0.562344	3:0.562344	
3(351254)::	0:1.060285	1:1.060285	2:1.060285	3:1.060285	
4(12303)::	0:0.197183	1:0.197183	2:0.197183	3:0.197183	
5(53701)::	0:0.726508	1:0.726508	2:0.726508	3:0.726508	
6(483791)::	0:0.067615	1:0.067615	2:0.067615	3:0.067615	
7(208422)::	0:0.359663	1:0.359663	2:0.359663	3:0.359663	
8(27620)::	0:1.363621	1:1.363621	2:1.363621	3:1.363621	
9(355291)::	3:0.295446	2:0.295446	1:0.295446	0:0.295446	
10(343186)::	0:0.124667	1:0.124667	2:0.124667	3:0.124667	
11(55803)::	0:0.140286	1:0.140286	2:0.140286	3:0.140286	
12(164471)::	0:0.193497	1:0.193497	2:0.193497	3:0.193497	
13(292382)::	0:0.007536	1:0.007536	2:0.007536	3:0.007536	
