0.576550
0.576550
0(1316)::	0:0.032705	1:0.032705	2:0.032705	3:0.032705	
1(252559)::	0:1.183572	1:1.183572	2:1.183572	3:1.183572	
2(297488)::	3:0.032718	2:0.032718	1:0.032718	0:0.032718	
3(466763)::	0:0.032712	1:0.032712	2:0.032712	3:0.032712	
4(310116)::	3:0.032702	2:0.032702	1:0.032702	0:0.032702	
5(227652)::	0:2.072425	1:2.072425	2:2.072425	3:2.072425	
6(533394)::	3:0.277346	2:0.277346	1:0.277346	0:0.277346	
7(536415)::	0:1.208660	1:1.208660	2:1.208660	3:1.208660	
8(189174)::	3:0.184079	2:0.184079	1:0.184079	0:0.184079	
9(445171)::	3:0.445122	2:0.445122	1:0.445122	0:0.445122	
10(20561)::	0:0.335325	1:0.335325	2:0.335325	3:0.335325	
11(14698)::	0:0.272071	1:0.272071	2:0.272071	3:0.272071	
12(263372)::	0:0.422545	1:0.422545	2:0.422545	3:0.422545	
13(404585)::	3:0.124785	2:0.124785	1:0.124785	0:0.124785	
14(314412)::	0:0.675570	1:0.675570	2:0.675570	3:0.675570	
15(372301)::	3:0.182466	2:0.182466	1:0.182466	0:0.182466	
16(120990)::	3:0.370696	2:0.370696	1:0.370696	0:0.370696	
17(2348)::	0:0.078082	1:0.078082	2:0.078082	3:0.078082	
18(32781)::	3:0.077186	2:0.077186	1:0.077186	0:0.077186	
