iter  AnomalyNodeRemoved  LL
0 NA -2328713.135631
1 450423 -1915914.397245
2 330578 -1916515.475212
3 486807 -1884876.304811
4 129189 -1853359.332227
5 64675 -1842163.916067
6 242108 -1828914.739669
7 430260 -1822577.905581
8 397 -1815348.987410
9 525147 -1813361.699390
10 218702 -1817766.236104
11 274177 -1812745.676138
12 545148 -1809521.279364
13 125401 -1800374.494557
14 200380 -1805465.558518
15 546592 -1800626.017362
16 77862 -1799237.075939
17 447656 -1787636.860241
18 390721 -1786211.256845
19 242434 -1788727.041189
20 535566 -1784030.319804
21 170913 -1777076.163244
22 51590 -1780540.548777
23 474537 -1787015.744049
24 225316 -1777108.499693
25 163954 -1783211.540050
26 219962 -1781158.967014
27 25716 -1775056.939878
28 204084 -1773241.278616
29 510266 -1771314.051788
30 104270 -1781196.039373
31 544449 -1776900.677801
32 256902 -1768823.140142
33 291970 -1764307.046757
34 473443 -1771822.751696
35 183913 -1760588.880042
36 189840 -1764508.143088
37 155469 -1764519.865243
38 298390 -1776172.341447
39 508802 -1764866.379322
40 537373 -1761523.338931
