iter  AnomalyNodeRemoved  LL
0 NA -2452602.509765
1 378463 -2002740.956074
2 155951 -2002439.586366
3 79215 -2002140.671105
4 9684 -2002050.494901
5 522469 -2002024.348767
6 351207 -2002000.794609
7 283335 -2001977.380612
8 405744 -2001954.642033
9 400411 -2001932.863588
10 484114 -2001911.084483
11 344376 -2001889.302483
12 255831 -2001845.734956
13 545898 -2001802.171454
14 325624 -2001758.616284
15 9371 -2001736.838363
16 85921 -2001693.281404
17 90404 -2001671.496611
18 325020 -2001627.939625
19 4937 -2001606.162142
20 97536 -2001584.383102
21 45754 -2001562.605735
22 350207 -2001497.275485
23 428058 -2001453.721546
24 223780 -2001410.164637
25 495776 -2001388.387477
26 125529 -2001366.610363
27 446017 -2001344.833230
28 31923 -2001323.056364
29 365467 -2001301.279334
30 300105 -2001279.501847
31 350699 -2001257.724896
32 525182 -2001235.948073
33 190587 -2001214.171381
34 87767 -2001192.394718
35 68030 -2001148.844132
36 371889 -2001127.067626
37 428100 -2001105.291171
38 178440 -2001061.730747
39 142090 -2001018.179414
40 506678 -2000974.631042
