iter  AnomalyNodeRemoved  LL
0 NA -1130510.992792
1 494929 -1091780.988947
2 60184 -1091640.880085
3 540086 -1091527.660732
4 543153 -1091456.196190
5 546979 -1091383.294001
6 48738 -1091271.748378
7 162387 -1091212.054254
8 261591 -1091168.946212
9 18805 -1091106.573995
10 19515 -1091066.319350
11 74239 -1091044.497426
12 362143 -1091023.938993
13 96983 -1091003.528936
14 179333 -1090983.146931
15 15114 -1090962.771733
16 469881 -1090942.404821
17 545458 -1090904.274626
18 364504 -1090883.825989
19 172198 -1090863.455796
20 208387 -1090824.978013
21 20837 -1090786.509325
22 215150 -1090766.172461
23 146766 -1090728.471577
24 182768 -1090708.129356
25 207158 -1090687.801616
26 464537 -1090667.487249
27 350232 -1090647.184505
28 262826 -1090626.883465
29 295351 -1090606.588329
30 211000 -1090586.289919
31 187047 -1090565.799578
32 546403 -1090545.125525
33 52881 -1090524.836448
34 121136 -1090504.287138
35 341039 -1090484.016240
36 1938 -1090463.744643
37 534200 -1090443.476280
38 500859 -1090423.211387
39 330323 -1090402.952599
40 109422 -1090382.663768
