0.431922
0.431922
0(176793)::	0:0.367508	1:0.367508	2:0.367508	3:0.367508	4:0.367508	
1(377022)::	4:0.151852	3:0.151852	2:0.151852	1:0.151852	0:0.151852	
2(290612)::	4:0.091341	3:0.091341	2:0.091341	1:0.091341	0:0.091341	
3(151659)::	0:0.181600	1:0.181600	2:0.181600	3:0.181600	4:0.181600	
4(111213)::	4:0.214353	3:0.214353	2:0.214353	1:0.214353	0:0.214353	
5(515625)::	4:0.296425	3:0.296425	2:0.296425	1:0.296425	0:0.296425	
6(112416)::	0:0.389671	1:0.389671	2:0.389671	3:0.389671	4:0.389671	
7(108124)::	0:0.454917	1:0.454917	2:0.454917	3:0.454917	4:0.454917	
8(370011)::	4:0.247967	3:0.247967	2:0.247967	1:0.247967	0:0.247967	
9(85822)::	0:0.401142	1:0.401142	2:0.401142	3:0.401142	4:0.401142	
10(290613)::	4:0.185969	3:0.185969	2:0.185969	1:0.185969	0:0.185969	
11(401230)::	4:0.255772	3:0.255772	2:0.255772	1:0.255772	0:0.255772	
12(51369)::	0:0.130314	1:0.130314	2:0.130314	3:0.130314	4:0.130314	
13(310160)::	0:0.358303	1:0.358303	2:0.358303	3:0.358303	4:0.358303	
14(274440)::	4:0.146320	3:0.146320	2:0.146320	1:0.146320	0:0.146320	
15(324231)::	4:0.414460	3:0.414460	2:0.414460	1:0.414460	0:0.414460	
16(260312)::	4:0.019498	3:0.019498	2:0.019498	1:0.019498	0:0.019498	
17(178246)::	4:0.294604	3:0.294604	2:0.294604	1:0.294604	0:0.294604	
18(274433)::	4:0.110413	3:0.110413	2:0.110413	1:0.110413	0:0.110413	
19(177145)::	4:0.085853	3:0.085853	2:0.085853	1:0.085853	0:0.085853	
20(119568)::	4:0.097139	3:0.097139	2:0.097139	1:0.097139	0:0.097139	
21(302808)::	0:0.057156	1:0.057156	2:0.057156	3:0.057156	4:0.057156	
22(426287)::	4:0.224149	3:0.224149	2:0.224149	1:0.224149	0:0.224149	
23(450130)::	4:0.131477	3:0.131477	2:0.131477	1:0.131477	0:0.131477	
24(56285)::	4:0.050412	3:0.050412	2:0.050412	1:0.050412	0:0.050412	
25(338808)::	4:0.021977	3:0.021977	2:0.021977	1:0.021977	0:0.021977	
26(257720)::	0:0.059244	1:0.059244	2:0.059244	3:0.059244	4:0.059244	
