318767	369146
318767	320944
318767	194687
318767	537841
318767	208408
318767	489640
369146	318767
369146	320944
369146	537841
369146	489640
369146	208408
320944	318767
320944	369146
320944	537841
320944	489640
320944	208408
169642	208408
194687	318767
537841	318767
537841	369146
537841	489640
537841	208408
537841	320944
208408	318767
208408	369146
208408	320944
208408	169642
208408	537841
208408	103357
208408	489640
103357	208408
489640	318767
489640	320944
489640	537841
489640	208408
489640	369146
