224484	377023
224484	473474
224484	222737
224484	163046
224484	534978
224484	62080
112169	246858
112169	352393
112169	136793
112169	86144
112169	484405
168549	377293
168549	274778
168549	73333
168549	173539
13655	352393
73333	316385
73333	168549
73333	209292
73333	301702
73333	377293
73333	295279
73333	178628
73333	274778
249270	163046
249270	473755
249270	62080
249270	473474
62080	377023
62080	473474
62080	249270
62080	344889
62080	80682
62080	530348
62080	224484
62080	163046
62080	267959
62080	43657
62080	136713
173539	316385
173539	157416
173539	168549
173539	209292
173539	377293
173539	295279
173539	178628
173539	274778
344889	352393
344889	62080
155031	246858
155031	295861
155031	271319
155031	86144
155031	484405
352393	437561
352393	271319
352393	316385
352393	112169
352393	86144
352393	157416
352393	295861
352393	209292
352393	344889
352393	246858
352393	178628
352393	274778
352393	13655
274778	271319
274778	352393
274778	157416
274778	168549
274778	295279
274778	73333
274778	173539
157416	316385
157416	352393
157416	209292
157416	295279
157416	178628
157416	274778
157416	173539
473755	377023
473755	473474
473755	80682
473755	249270
473755	530348
473755	163046
473755	534978
473755	267959
473755	43657
473755	136713
163046	377023
163046	473474
163046	80682
163046	222737
163046	473755
163046	530348
163046	224484
163046	249270
163046	534978
163046	267959
163046	62080
163046	43657
163046	136713
246858	155031
246858	136793
246858	352393
246858	112169
246858	141287
246858	484405
178628	157416
178628	352393
178628	173539
178628	73333
267959	163046
267959	473755
267959	62080
267959	473474
43657	163046
43657	473755
43657	62080
43657	473474
136713	163046
136713	473755
136713	62080
136713	473474
377023	222737
377023	473755
377023	224484
377023	163046
377023	534978
377023	62080
473474	473755
473474	222737
473474	163046
473474	80682
473474	530348
473474	224484
473474	249270
473474	534978
473474	267959
473474	62080
473474	43657
473474	136713
437561	352393
437561	141287
271319	352393
271319	155031
271319	274778
271319	136793
271319	484405
136793	271319
136793	112169
136793	86144
136793	295861
136793	246858
136793	484405
295279	157416
295279	173539
295279	73333
295279	274778
530348	163046
530348	473474
530348	62080
530348	473755
377293	168549
377293	173539
377293	73333
377293	301702
534978	163046
534978	377023
534978	473755
534978	224484
534978	473474
295861	155031
295861	484405
295861	352393
295861	136793
295861	141287
316385	157416
316385	352393
316385	173539
316385	73333
222737	163046
222737	377023
222737	224484
222737	473474
86144	155031
86144	136793
86144	352393
86144	112169
86144	141287
86144	484405
80682	163046
80682	473474
80682	62080
80682	473755
209292	157416
209292	352393
209292	173539
209292	73333
141287	246858
141287	437561
141287	295861
141287	86144
484405	155031
484405	271319
484405	136793
484405	112169
484405	86144
484405	246858
484405	295861
301702	73333
301702	377293
