0.618718
0.618718
0(436121)::	0:10.325618	1:10.325618	2:10.325618	3:10.325618	
1(418053)::	0:7.767602	1:7.767602	2:7.767602	3:7.767602	
2(91312)::	0:0.004645	1:0.004645	2:0.004645	3:0.004645	
3(54528)::	3:0.065270	2:0.065270	1:0.065270	0:0.065270	
4(14245)::	0:1.502709	1:1.502709	2:1.502709	3:1.502709	
5(310133)::	0:12.827082	1:12.827082	2:12.827082	3:12.827082	
6(527637)::	0:0.069850	1:0.069850	2:0.069850	3:0.069850	
7(259746)::	0:0.139623	1:0.139623	2:0.139623	3:0.139623	
8(122899)::	0:0.140129	1:0.140129	2:0.140129	3:0.140129	
9(446311)::	3:0.034725	2:0.034725	1:0.034725	0:0.034725	
10(523611)::	3:0.110536	2:0.110536	1:0.110536	0:0.110536	
11(225226)::	0:11.941374	1:11.941374	2:11.941374	3:11.941374	
12(144069)::	0:0.714615	1:0.714615	2:0.714615	3:0.714615	
13(403336)::	3:0.021041	2:0.021041	1:0.021041	0:0.021041	
14(406233)::	0:0.004996	1:0.004996	2:0.004996	3:0.004996	
15(166475)::	0:0.004995	1:0.004995	2:0.004995	3:0.004995	
