111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
111722	223046	122622	111726	147107	
